Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,ESP32-S3-LCD-EV-BOARD_SUB_LCD_RGB,PinSocket_2x20_P2.54mm_Vertical,62.972,-73.944,0.0,bottom
J2,Conn_02x26_Counter_Clockwise,Molex_502250-5191_2Rows-51Pins-1MP_P0.60mm_Horizontal,41.402,-98.044,0.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,47.005,-115.443,90.0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,40.762,-115.443,90.0,top
R1,10K,R_0603_1608Metric,46.734,-103.632,270.0,bottom
R2,10K,R_0603_1608Metric,45.085,-103.632,270.0,bottom
